scenario,policy,metric,mean,ci_low,ci_high,n
sc_high_workload,pto_adaptive_fast,p95_total_wait,15.260016514884942,14.221678523975095,16.599437595169505,50
sc_high_workload,pto_adaptive_fast,mean_turnaround,21.28698425350111,21.02134433315996,21.592457754533488,50
sc_high_workload,pto_adaptive_fast,mean_gate_queue,3.6293043478260865,3.437147388285024,3.8288417421497583,50
sc_high_workload,pto_adaptive_fast,mean_yard_queue,0.11929951690821257,0.11631564009661836,0.12208396739130434,50
sc_high_workload,pto_adaptive_fast,p95_yard_queue,0.584399999999999,0.5687924999999991,0.5999999999999988,50
sc_high_workload,pto_adaptive_fast,throughput_rate,0.8168632106084943,0.8160658910892132,0.8176475356379743,50
sc_high_workload,pto_adaptive_fast,completion_rate,1.0,1.0,1.0,50
sc_high_workload,pto_adaptive_fast,acceptance_rate,0.8292511469780911,0.8286876301913527,0.8298432957725331,50
sc_high_workload,pto_adaptive_fast,gate_utilization,0.9451130736714975,0.9437448369565219,0.9464827521135266,50
sc_high_workload,pto_adaptive_fast,yard_utilization,0.7430262319945473,0.7418790516109511,0.744264579478144,50
sc_high_workload,pto_adaptive_fast,yard_resource_hours_per_truck,0.23560020440191332,0.23529559422322874,0.23591266450087595,50
sc_high_workload,pto_adaptive_fast,mean_composite_cost,0.3154189632602088,0.31203080643145764,0.3191840277480397,50
sc_high_workload,pto_adaptive_fast,mean_quota,21.269891304347826,21.236521739130435,21.306755434782612,50
sc_high_workload,pto_adaptive_fast,mean_yard_capacity,9.46391304347826,9.443804347826086,9.484565217391303,50
sc_high_workload,pto_adaptive_fast,unstable,0.02,0.0,0.06,50
sc_high_workload,pto_adaptive_fast,queue_tail_slope,-0.00267792422458017,-0.005956013967230753,0.0005771697668433974,50
sc_high_workload,pto_adaptive_fast,terminal_system,0.0,0.0,0.0,50
sc_high_workload,pto_adaptive_fast,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_high_workload,pto_adaptive_fast,drain_truncated,0.0,0.0,0.0,50
sc_high_workload,pto_adaptive_fast,drain_minutes,25.88,24.04,27.801,50
sc_high_workload,pto_adaptive_fast,first_queue_threshold_period,39.44,12.48,73.14,50
sc_high_workload,pto_adaptive_fast,mean_net_queue_drift,-0.010579710144927536,-0.016703351449275365,-0.00467164855072464,50
sc_high_workload,pto_adaptive_fast,tail_net_queue_drift,-0.009818181818181818,-0.016729545454545455,-0.0025431818181818194,50
