source_file,week_index,metric,value
POV-Weekly-Metrics-07-09-2023.pdf,5,gate_moves,10510.0
POV-Weekly-Metrics-07-09-2023.pdf,6,gate_moves,11292.0
POV-Weekly-Metrics-07-09-2023.pdf,7,gate_moves,8684.0
POV-Weekly-Metrics-07-09-2023.pdf,0,reservation_moves,8404.0
POV-Weekly-Metrics-07-09-2023.pdf,1,reservation_moves,9192.0
POV-Weekly-Metrics-07-09-2023.pdf,2,reservation_moves,8041.0
POV-Weekly-Metrics-07-09-2023.pdf,3,reservation_moves,7845.0
POV-Weekly-Metrics-07-09-2023.pdf,4,reservation_moves,8290.0
POV-Weekly-Metrics-07-09-2023.pdf,5,reservation_moves,7867.0
POV-Weekly-Metrics-07-09-2023.pdf,6,reservation_moves,8754.0
POV-Weekly-Metrics-07-09-2023.pdf,7,reservation_moves,6821.0
POV-Weekly-Metrics-07-09-2023.pdf,0,reservations_missed,211.0
POV-Weekly-Metrics-07-09-2023.pdf,1,reservations_missed,343.0
POV-Weekly-Metrics-07-09-2023.pdf,2,reservations_missed,269.0
POV-Weekly-Metrics-07-09-2023.pdf,3,reservations_missed,230.0
POV-Weekly-Metrics-07-09-2023.pdf,4,reservations_missed,248.0
POV-Weekly-Metrics-07-09-2023.pdf,5,reservations_missed,213.0
POV-Weekly-Metrics-07-09-2023.pdf,6,reservations_missed,295.0
POV-Weekly-Metrics-07-09-2023.pdf,7,reservations_missed,253.0
POV-Weekly-Metrics-07-09-2023.pdf,0,reservation_share_pct,75.4
POV-Weekly-Metrics-07-09-2023.pdf,1,reservation_share_pct,77.6
POV-Weekly-Metrics-07-09-2023.pdf,2,reservation_share_pct,77.1
POV-Weekly-Metrics-07-09-2023.pdf,3,reservation_share_pct,73.9
POV-Weekly-Metrics-07-09-2023.pdf,4,reservation_share_pct,75.5
POV-Weekly-Metrics-07-09-2023.pdf,5,reservation_share_pct,74.9
POV-Weekly-Metrics-07-09-2023.pdf,6,reservation_share_pct,77.5
POV-Weekly-Metrics-07-09-2023.pdf,7,reservation_share_pct,78.5
POV-Weekly-Metrics-07-09-2023.pdf,0,turn_time,29.7
POV-Weekly-Metrics-07-09-2023.pdf,1,turn_time,30.9
POV-Weekly-Metrics-07-09-2023.pdf,2,turn_time,35.3
POV-Weekly-Metrics-07-09-2023.pdf,3,turn_time,27.6
POV-Weekly-Metrics-07-09-2023.pdf,4,turn_time,28.8
POV-Weekly-Metrics-07-09-2023.pdf,5,turn_time,29.4
POV-Weekly-Metrics-07-09-2023.pdf,6,turn_time,30.0
POV-Weekly-Metrics-07-09-2023.pdf,7,turn_time,32.6
POV-Weekly-Metrics-07-09-2023.pdf,0,expanded_turn_time,33.8
POV-Weekly-Metrics-07-09-2023.pdf,1,expanded_turn_time,35.1
