scenario,policy,metric,mean,ci_low,ci_high,n
sc_high_workload,fixed,mean_composite_cost,3.2608556462585785,2.9545017226794994,3.5943103309192743,50
sc_high_workload,fixed,mean_quota,25.0,25.0,25.0,50
sc_high_workload,fixed,mean_yard_capacity,8.0,8.0,8.0,50
sc_high_workload,fixed,unstable,0.6,0.46,0.74,50
sc_high_workload,fixed,queue_tail_slope,0.08919759686995643,0.026629532381396443,0.14359335427666467,50
sc_high_workload,fixed,terminal_system,0.0,0.0,0.0,50
sc_high_workload,fixed,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_high_workload,fixed,drain_truncated,0.0,0.0,0.0,50
sc_high_workload,fixed,drain_minutes,398.8,358.229,441.7285,50
sc_high_workload,fixed,first_queue_threshold_period,339.72,337.7395,341.84,50
sc_high_workload,fixed,mean_net_queue_drift,0.1777355072463768,0.15145697463768115,0.20326721014492752,50
sc_high_workload,fixed,tail_net_queue_drift,0.05527272727272727,-0.007093181818181815,0.11327727272727268,50
sc_high_workload,fixed,service_floor_binding_rate,0.11202898550724637,0.10632110507246377,0.1173731884057971,50
sc_high_workload,fixed,projection_binding_rate,0.0,0.0,0.0,50
sc_high_workload,gate_only,mean_gate_wait,19.323049835799345,18.747875936290953,19.92725954306569,50
sc_high_workload,gate_only,mean_yard_wait,3.636155412143575,3.5092919521541224,3.7672488084184086,50
sc_high_workload,gate_only,mean_total_wait,22.959205247942922,22.343496274667363,23.597876758418096,50
sc_high_workload,gate_only,p95_total_wait,53.248134402217914,51.31706497888719,55.09717409661665,50
sc_high_workload,gate_only,mean_turnaround,38.9541405912588,38.33129518646089,39.61225662272103,50
sc_high_workload,gate_only,mean_gate_queue,14.15499033816425,13.700346059782609,14.585599230072463,50
sc_high_workload,gate_only,mean_yard_queue,2.585353260869565,2.4983575785024152,2.6745418327294685,50
sc_high_workload,gate_only,p95_yard_queue,9.189266666666661,8.79595833333333,9.595095833333326,50
sc_high_workload,gate_only,throughput_rate,0.8774738181518571,0.8760060506919161,0.8789553267932296,50
sc_high_workload,gate_only,completion_rate,1.0,1.0,1.0,50
sc_high_workload,gate_only,acceptance_rate,0.8929539085294509,0.8915688689665601,0.8943463625926631,50
sc_high_workload,gate_only,gate_utilization,0.9884652777777777,0.9878550498188406,0.9890197388285021,50
sc_high_workload,gate_only,yard_utilization,0.9448910251760586,0.9438240992389978,0.9458997474203927,50
sc_high_workload,gate_only,yard_resource_hours_per_truck,0.18516168675231343,0.18497630908317095,0.18534138538293612,50
sc_high_workload,gate_only,mean_composite_cost,0.4809615241534076,0.4724090128277013,0.4890749611314038,50
sc_high_workload,gate_only,mean_quota,23.82815217391304,23.799544384057974,23.858942481884053,50
sc_high_workload,gate_only,mean_yard_capacity,8.0,8.0,8.0,50
sc_high_workload,gate_only,unstable,0.28,0.16,0.42,50
sc_high_workload,gate_only,queue_tail_slope,-0.005009002815610485,-0.01788871693442212,0.007454896156757459,50
sc_high_workload,gate_only,terminal_system,0.0,0.0,0.0,50
sc_high_workload,gate_only,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_high_workload,gate_only,drain_truncated,0.0,0.0,0.0,50
sc_high_workload,gate_only,drain_minutes,33.0,30.1,36.3,50
sc_high_workload,gate_only,first_queue_threshold_period,489.48,442.1185,550.121,50
sc_high_workload,gate_only,mean_net_queue_drift,0.0006159420289855075,-0.0016671195652173912,0.002807971014492753,50
sc_high_workload,gate_only,tail_net_queue_drift,-0.050272727272727274,-0.0630909090909091,-0.03663409090909092,50
sc_high_workload,gate_only,service_floor_binding_rate,0.35322463768115947,0.342952445652174,0.3631521739130435,50
sc_high_workload,gate_only,projection_binding_rate,0.0005072463768115942,0.0002717391304347826,0.0007971014492753623,50
