seed_block,seed,policy,period,mean_yard_queue
0,41000,pto_frozen,540,2950.275
0,41000,pto_frozen,541,2956.125
0,41000,pto_frozen,542,2961.675
0,41000,pto_frozen,543,2969.325
0,41000,pto_frozen,544,2975.85
0,41000,pto_frozen,545,2982.275
0,41000,pto_frozen,546,2988.275
0,41000,pto_frozen,547,2992.625
0,41000,pto_frozen,548,3001.075
0,41000,pto_frozen,549,3004.075
0,41000,pto_frozen,550,3009.275
0,41000,pto_frozen,551,3016.15
0,41000,pto_frozen,552,3021.7
0,41000,pto_frozen,553,3028.65
0,41000,pto_frozen,554,3034.6
0,41000,pto_frozen,555,3040.0
0,41000,pto_frozen,556,3045.425
0,41000,pto_frozen,557,3054.025
0,41000,pto_frozen,558,3058.525
0,41000,pto_frozen,559,3067.975
0,41000,pto_frozen,560,3073.625
0,41000,pto_frozen,561,3077.275
0,41000,pto_frozen,562,3083.025
0,41000,pto_frozen,563,3087.025
0,41000,pto_frozen,564,3090.675
0,41000,pto_frozen,565,3097.075
0,41000,pto_frozen,566,3102.775
0,41000,pto_frozen,567,3107.175
0,41000,pto_frozen,568,3112.375
0,41000,pto_frozen,569,3118.875
0,41000,pto_frozen,570,3123.95
0,41000,pto_frozen,571,3129.325
0,41000,pto_frozen,572,3137.425
0,41000,pto_frozen,573,3142.175
0,41000,pto_frozen,574,3147.9
0,41000,pto_frozen,575,3154.5
0,41000,pto_frozen,576,3158.075
0,41000,pto_frozen,577,3163.625
0,41000,pto_frozen,578,3167.525
0,41000,pto_frozen,579,3171.525
0,41000,pto_frozen,580,3177.35
0,41000,pto_frozen,581,3182.225
0,41000,pto_frozen,582,3188.575
0,41000,pto_frozen,583,3193.575
0,41000,pto_frozen,584,3199.775
0,41000,pto_frozen,585,3204.425
0,41000,pto_frozen,586,3210.775
0,41000,pto_frozen,587,3215.625
0,41000,pto_frozen,588,3221.6
0,41000,pto_frozen,589,3226.675
0,41000,pto_frozen,590,3231.05
0,41000,pto_frozen,591,3237.825
0,41000,pto_frozen,592,3244.275
0,41000,pto_frozen,593,3250.6
0,41000,pto_frozen,594,3257.0
0,41000,pto_frozen,595,3263.1
0,41000,pto_frozen,596,3268.55
0,41000,pto_frozen,597,3273.025
0,41000,pto_frozen,598,3275.85
0,41000,pto_frozen,599,3279.25
0,41000,pto_frozen,600,3285.475
0,41000,pto_frozen,601,3289.8
0,41000,pto_frozen,602,3297.7
0,41000,pto_frozen,603,3305.0
0,41000,pto_frozen,604,3314.2
0,41000,pto_frozen,605,3317.2
0,41000,pto_frozen,606,3322.525
0,41000,pto_frozen,607,3328.05
0,41000,pto_frozen,608,3333.35
0,41000,pto_frozen,609,3337.55
0,41000,pto_frozen,610,3342.675
0,41000,pto_frozen,611,3348.425
0,41000,pto_frozen,612,3353.25
0,41000,pto_frozen,613,3358.225
0,41000,pto_frozen,614,3364.15
0,41000,pto_frozen,615,3367.95
0,41000,pto_frozen,616,3373.95
0,41000,pto_frozen,617,3379.225
0,41000,pto_frozen,618,3384.75
0,41000,pto_frozen,619,3392.25
0,41000,pto_frozen,620,3398.25
0,41000,pto_frozen,621,3405.85
0,41000,pto_frozen,622,3410.6
0,41000,pto_frozen,623,3415.3
0,41000,pto_frozen,624,3420.55
0,41000,pto_frozen,625,3425.825
0,41000,pto_frozen,626,3432.025
0,41000,pto_frozen,627,3437.6
0,41000,pto_frozen,628,3443.6
0,41000,pto_frozen,629,3448.825
0,41000,pto_frozen,630,3453.7
0,41000,pto_frozen,631,3461.4
0,41000,pto_frozen,632,3466.05
0,41000,pto_frozen,633,3472.025
0,41000,pto_frozen,634,3480.375
0,41000,pto_frozen,635,3485.1
0,41000,pto_frozen,636,3490.1
0,41000,pto_frozen,637,3495.325
0,41000,pto_frozen,638,3503.225
0,41000,pto_frozen,639,3509.0
0,41000,pto_frozen,640,3514.15
0,41000,pto_frozen,641,3518.075
0,41000,pto_frozen,642,3522.925
0,41000,pto_frozen,643,3527.125
0,41000,pto_frozen,644,3531.2
0,41000,pto_frozen,645,3536.125
0,41000,pto_frozen,646,3542.125
0,41000,pto_frozen,647,3549.85
0,41000,pto_frozen,648,3555.7
0,41000,pto_frozen,649,3562.075
0,41000,pto_frozen,650,3568.7
0,41000,pto_frozen,651,3575.475
0,41000,pto_frozen,652,3583.225
0,41000,pto_frozen,653,3589.575
0,41000,pto_frozen,654,3594.075
0,41000,pto_frozen,655,3596.925
0,41000,pto_frozen,656,3602.325
0,41000,pto_frozen,657,3611.05
0,41000,pto_frozen,658,3617.0
0,41000,pto_frozen,659,3621.4
0,41000,pto_frozen,660,3625.3
0,41000,pto_frozen,661,3630.375
0,41000,pto_frozen,662,3637.475
0,41000,pto_frozen,663,3643.575
0,41000,pto_frozen,664,3651.175
0,41000,pto_frozen,665,3655.825
0,41000,pto_frozen,666,3658.55
0,41000,pto_frozen,667,3664.175
0,41000,pto_frozen,668,3668.75
0,41000,pto_frozen,669,3673.725
0,41000,pto_frozen,670,3682.075
0,41000,pto_frozen,671,3687.475
0,41000,pto_frozen,672,3692.8
0,41000,pto_frozen,673,3699.775
0,41000,pto_frozen,674,3705.6
0,41000,pto_frozen,675,3710.75
0,41000,pto_frozen,676,3715.225
0,41000,pto_frozen,677,3721.4
0,41000,pto_frozen,678,3727.8
0,41000,pto_frozen,679,3733.45
0,41000,pto_frozen,680,3737.725
0,41000,pto_frozen,681,3744.525
0,41000,pto_frozen,682,3747.575
0,41000,pto_frozen,683,3752.725
0,41000,pto_frozen,684,3757.95
0,41000,pto_frozen,685,3764.275
0,41000,pto_frozen,686,3770.575
0,41000,pto_frozen,687,3774.925
0,41000,pto_frozen,688,3778.975
0,41000,pto_frozen,689,3782.7
0,41000,pto_frozen,690,3786.45
0,41000,pto_frozen,691,3790.875
0,41000,pto_frozen,692,3797.85
0,41000,pto_frozen,693,3804.625
0,41000,pto_frozen,694,3811.15
0,41000,pto_frozen,695,3816.725
0,41000,pto_frozen,696,3822.05
0,41000,pto_frozen,697,3828.175
0,41000,pto_frozen,698,3834.0
0,41000,pto_frozen,699,3838.025
0,41000,pto_frozen,700,3842.95
0,41000,pto_frozen,701,3848.65
0,41000,pto_frozen,702,3853.65
0,41000,pto_frozen,703,3859.6
0,41000,pto_frozen,704,3863.975
0,41000,pto_frozen,705,3869.575
0,41000,pto_frozen,706,3873.55
0,41000,pto_frozen,707,3880.05
0,41000,pto_frozen,708,3884.825
0,41000,pto_frozen,709,3892.95
0,41000,pto_frozen,710,3897.325
0,41000,pto_frozen,711,3901.3
0,41000,pto_frozen,712,3905.075
0,41000,pto_frozen,713,3913.025
0,41000,pto_frozen,714,3917.0
0,41000,pto_frozen,715,3920.75
0,41000,pto_frozen,716,3926.175
0,41000,pto_frozen,717,3931.05
0,41000,pto_frozen,718,3937.05
0,41000,pto_frozen,719,3942.7
0,41000,pto_frozen,720,3948.95
0,41000,pto_frozen,721,3954.7
0,41000,pto_frozen,722,3959.8
0,41000,pto_frozen,723,3962.975
0,41000,pto_frozen,724,3969.05
0,41000,pto_frozen,725,3974.125
0,41000,pto_frozen,726,3980.275
0,41000,pto_frozen,727,3983.75
0,41000,pto_frozen,728,3991.425
0,41000,pto_frozen,729,3999.2
0,41000,pto_frozen,730,4005.45
0,41000,pto_frozen,731,4009.95
0,41000,pto_frozen,732,4016.125
0,41000,pto_frozen,733,4019.975
0,41000,pto_frozen,734,4023.925
0,41000,pto_frozen,735,4030.325
0,41000,pto_frozen,736,4036.3
0,41000,pto_frozen,737,4043.125
0,41000,pto_frozen,738,4050.175
0,41000,pto_frozen,739,4056.3
0,41000,pto_frozen,740,4058.075
0,41000,pto_frozen,741,4062.65
0,41000,pto_frozen,742,4066.325
