seed_block,seed,policy,path,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
0,41000,pto_frozen,22,76.16918716095864,5077.784420289855,8127.0,5.403356242865637
0,41000,pto_frozen,23,76.65380672617603,5110.092391304348,8308.0,6.314211378955638
0,41000,pto_frozen,24,74.03839911748037,4935.731884057971,8018.0,5.517915225326499
0,41000,pto_frozen,25,70.83377955226287,4722.090579710145,7716.0,5.748750808380245
0,41000,pto_frozen,26,75.6807496609586,5045.221920289855,8106.0,5.399555119596873
0,41000,pto_frozen,27,73.20485292182829,4880.162137681159,7682.0,5.147203275621856
0,41000,pto_frozen,28,72.88243444356729,4858.667572463768,7995.0,5.896333805702282
0,41000,pto_frozen,29,68.20935020443683,4547.128623188406,7392.0,5.386236702416243
0,41000,pto_frozen,30,72.04076324791518,4802.55615942029,7828.0,5.855004904535176
0,41000,pto_frozen,31,72.91432303052385,4860.79347826087,7917.0,5.884396091128868
0,41000,pto_frozen,32,73.40989368269774,4893.83152173913,7885.0,5.7142625402019975
0,41000,pto_frozen,33,72.13361650878475,4808.746376811594,7586.0,4.905700437067869
0,41000,pto_frozen,34,75.17716270443698,5011.649456521739,8061.0,5.766065445162522
0,41000,pto_frozen,35,70.39611650878463,4692.913043478261,7565.0,4.974179575432185
0,41000,pto_frozen,36,76.36937737835002,5091.130434782609,8148.0,6.025176487311143
0,41000,pto_frozen,37,80.47516542182822,5364.849637681159,8584.0,5.722699751301004
0,41000,pto_frozen,38,75.91451324791514,5060.80615942029,8205.0,5.74136367779374
0,41000,pto_frozen,39,68.24801868269776,4549.70652173913,7324.0,4.96087705458791
0,41000,pto_reid_7d,0,5.882684147819774,389.41847826086956,0.0,-0.0012612901965720338
0,41000,pto_reid_7d,1,6.478995090928291,429.15579710144925,0.0,0.00209272826704977
0,41000,pto_reid_7d,2,6.349540646731237,420.53713768115944,0.0,0.0004064145243685953
0,41000,pto_reid_7d,3,5.685869880081671,376.294384057971,0.0,0.002919717533496239
0,41000,pto_reid_7d,4,4.842561193313157,320.09692028985506,11.0,-0.0005673310214020026
0,41000,pto_reid_7d,5,5.735852287039268,379.6313405797101,0.0,-0.0020261047139961547
0,41000,pto_reid_7d,6,5.361415686089279,354.669384057971,0.0,0.00035422245756274985
0,41000,pto_reid_7d,7,6.545196278528926,433.5715579710145,4.0,0.004539190708293004
0,41000,pto_reid_7d,8,6.118514206002196,405.151268115942,2.0,0.0007583583262080131
0,41000,pto_reid_7d,9,5.5912058459053995,369.99003623188406,3.0,-0.0017865745945077887
0,41000,pto_reid_7d,10,8.098379950116689,537.1222826086956,0.0,0.004105269554121329
0,41000,pto_reid_7d,11,5.580314616900107,369.26358695652175,6.0,0.0024023541768844483
0,41000,pto_reid_7d,12,5.556586072652664,367.67934782608694,4.0,0.0030957708149774955
0,41000,pto_reid_7d,13,6.215724837282609,411.6177536231884,10.0,-0.0005420487936145556
0,41000,pto_reid_7d,14,5.687510654782778,376.3994565217391,0.0,0.002239321785250804
0,41000,pto_reid_7d,15,5.825447633007653,385.59692028985506,7.0,0.00527297210491365
0,41000,pto_reid_7d,16,6.093400964496792,403.46014492753625,1.0,0.00020779170048481114
0,41000,pto_reid_7d,17,4.6305435344866375,305.9447463768116,0.0,-0.0012947647342219366
0,41000,pto_reid_7d,18,6.374360814239047,422.1893115942029,3.0,0.0008383282913554313
0,41000,pto_reid_7d,19,7.6408705941490975,506.61684782608694,0.0,-0.0006393256915177584
0,41000,pto_reid_7d,20,6.999710094324345,463.8822463768116,5.0,-0.0006650962026744908
0,41000,pto_reid_7d,21,5.505309773050299,364.2536231884058,3.0,0.0001860359636977591
0,41000,pto_reid_7d,22,6.808538160990094,451.1394927536232,0.0,0.001935338261016758
0,41000,pto_reid_7d,23,5.450325254815155,360.5951086956522,3.0,-0.0029295374545896466
0,41000,pto_reid_7d,24,6.1471922032853605,407.0552536231884,3.0,-0.0003793419242271017
0,41000,pto_reid_7d,25,6.167556951079075,408.4048913043478,0.0,-0.00848913189727386
0,41000,pto_reid_7d,26,7.179289815152136,475.8514492753623,0.0,0.0012778375774200408
0,41000,pto_reid_7d,27,5.462483292513406,361.4076086956522,1.0,-0.00039822221450613936
0,41000,pto_reid_7d,28,5.238050557084876,346.4501811594203,0.0,0.0008778792442675533
0,41000,pto_reid_7d,29,4.453394228649931,294.14764492753625,5.0,0.0028690988242136466
0,41000,pto_reid_7d,30,6.152635270760801,407.4076086956522,0.0,0.004193431829131203
0,41000,pto_reid_7d,31,7.133572292841766,472.8034420289855,3.0,0.0017937360839239754
0,41000,pto_reid_7d,32,5.750514164957392,380.6123188405797,0.0,-5.506751331385987e-05
0,41000,pto_reid_7d,33,5.698799948159833,377.1576086956522,0.0,-0.0007165287175725589
0,41000,pto_reid_7d,34,6.237289437314995,413.0679347826087,7.0,-0.0019349584850628693
