weight_set,scenario,policy,replication,arrivals,completed,completion_rate,throughput_rate,acceptance_rate,mean_gate_wait,mean_yard_wait,mean_total_wait,p95_total_wait,mean_turnaround,mean_gate_queue,mean_yard_queue,p95_yard_queue,gate_utilization,yard_utilization,yard_resource_hours_per_truck,mean_composite_cost,mean_quota,mean_yard_capacity,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,mean_net_queue_drift,tail_net_queue_drift,service_floor_binding_rate,projection_binding_rate,total_generated_arrivals,requested,accepted
W1_medium_unserved,sc_peak_workload,fixed,2,24425,24425,1.0,0.8941645921804071,0.9103821935861766,474.9498893643231,6.57252814738997,481.52241751171306,607.7111571218003,497.6072486273732,346.6764190821257,4.851841787439613,15.923333333333327,1.0,0.9719888914250933,0.1793654042988741,4.8471610476867975,25.0,8.0,1,0.3167197293708152,0,0,0,667,336,0.27355072463768115,0.33181818181818185,0.15489130434782608,0.0,31924,27316,24868
W1_medium_unserved,sc_peak_workload,gate_only,2,23814,23814,1.0,0.8717967491580026,0.886989310294333,21.50033643657799,4.505470878578931,26.00580731515692,55.3740625098594,42.09336085509141,15.810446859903381,3.229317632850242,10.061666666666664,0.9912364130434783,0.96000152172259,0.18396741412614429,0.5466072032269467,23.777173913043477,8.0,0,0.011205509505267683,0,0,0,39,365,0.002717391304347826,-0.05454545454545454,0.41847826086956524,0.0,31066,27316,24229
W1_medium_unserved,sc_peak_workload,pto,2,22678,22678,1.0,0.830209401083614,0.8437911846536829,9.517439106777513,0.17171811943325244,9.689157226210765,35.11639351858877,25.774217637181753,6.93082729468599,0.07315821256038647,0.36666666666666664,0.9635869565217391,0.732151321786691,0.2418643619366787,0.4061892167133842,22.0,10.0,0,0.0006188707880891265,0,0,0,20,336,-0.06340579710144928,-0.031818181818181815,0.5036231884057971,1.0,29178,27316,23049
W1_medium_unserved,sc_peak_workload,online_joint,2,23375,23375,1.0,0.8557255820764387,0.8701493630106897,14.848408372099152,0.2768573649051146,15.125265737004266,41.693897971814295,31.215661458929404,10.811262077294684,0.17122584541062802,0.8,0.9791968599033817,0.7915556407552957,0.22316577540106952,0.4489246801151185,23.01358695652174,9.513586956521738,1,0.0292904999915475,0,0,0,35,557,0.008152173913043478,-0.00909090909090909,0.5516304347826086,0.5135869565217391,30454,27316,23769
W1_medium_unserved,sc_peak_workload,fixed,3,24192,24192,1.0,0.8927266688807705,0.9105502048046054,146.98307922571485,3.6121031746031744,150.595182400318,229.18519289918822,166.514287889736,107.51099033816425,2.6457125603864737,8.5,1.0,0.9572924999047728,0.1808655753968254,1.826823383345338,25.0,8.0,1,0.255244060264205,0,0,0,166,362,0.06340579710144928,0.12272727272727273,0.11503623188405797,0.0,31556,27099,24675
W1_medium_unserved,sc_peak_workload,gate_only,3,23580,23580,1.0,0.8701428096977748,0.8868961954315657,20.157357827750907,3.3344028674866686,23.491760695237573,53.874069452029104,39.41360123807049,14.696105072463768,2.3599939613526573,8.989999999999993,0.9853034420289855,0.9366129585190264,0.18555979643765902,0.5136888357382288,23.932065217391305,8.0,0,-0.03138614809847702,0,0,0,22,363,-0.005434782608695652,-0.11818181818181818,0.39221014492753625,0.0,30747,27099,24034
W1_medium_unserved,sc_peak_workload,pto,3,22463,22463,1.0,0.8289235765157386,0.8434628584080593,5.681355038121196,0.14997154662761047,5.8313265847488065,15.572805794313169,21.755245918764743,4.149305555555555,0.05117753623188406,0.26666666666666666,0.9559933574879227,0.7124038081333455,0.24393447001736188,0.3593378949242375,22.0,10.0,0,-0.005916087672735573,0,0,0,22,-1,-0.0018115942028985507,-0.045454545454545456,0.4963768115942029,1.0,28843,27099,22857
W1_medium_unserved,sc_peak_workload,online_joint,3,23908,23908,1.0,0.8822465773644784,0.8992213734824164,35.04987210978896,0.21975520389908426,35.26962731368804,70.77149585188596,51.18509493958732,25.659661835748793,0.15386473429951691,0.694999999999997,0.994368961352657,0.7932314549506526,0.2189643633930065,0.7350558771608597,24.644021739130434,9.557065217391305,0,-0.03182099930689793,0,0,0,24,358,-0.0036231884057971015,-0.1,0.3070652173913043,0.5579710144927537,31167,27099,24368
W1_medium_unserved,sc_peak_workload,fixed,4,24283,24283,1.0,0.9037552569876065,0.9192377833190666,316.1114625885172,4.137791870856154,320.24925445937333,426.1749094913888,336.2497486322515,230.68734903381642,3.034903381642512,10.431666666666645,1.0,0.9598745724059293,0.18057900588889347,3.366881107389248,25.0,8.0,1,0.12061738691069754,0,0,0,387,336,0.20199275362318841,-0.05,0.10778985507246377,0.0,31684,26869,24699
W1_medium_unserved,sc_peak_workload,gate_only,4,23716,23716,1.0,0.8826528713387175,0.8973538278313298,20.46369315545028,3.948319041990188,24.412012197440465,54.17067421107822,40.41981283835799,14.996678743961354,2.8163043478260867,11.733333333333333,0.990655193236715,0.9464082098061574,0.18489627255861021,0.5138202298147037,23.906702898550726,8.0,1,0.021297697736053823,0,0,0,33,408,0.005434782608695652,-0.031818181818181815,0.3188405797101449,0.0,30931,26869,24111
