scenario,fidelity_level,fidelity_label,quota,yard_capacity,model_mean_composite_cost,model_samples,selected
public_peak_workload,mild_misspecification,轻度失真,13,9,0.3897741167445896,4,False
public_peak_workload,mild_misspecification,轻度失真,13,10,0.4097358468170534,4,False
public_peak_workload,mild_misspecification,轻度失真,14,6,0.31482012077789695,4,False
public_peak_workload,mild_misspecification,轻度失真,14,7,0.33064496226340423,4,False
public_peak_workload,mild_misspecification,轻度失真,14,8,0.34970349940108536,4,False
public_peak_workload,mild_misspecification,轻度失真,14,9,0.36944002566920126,4,False
public_peak_workload,mild_misspecification,轻度失真,14,10,0.3893746950532593,4,False
public_peak_workload,mild_misspecification,轻度失真,15,6,0.2975783724820117,4,False
public_peak_workload,mild_misspecification,轻度失真,15,7,0.31175964512693927,4,False
public_peak_workload,mild_misspecification,轻度失真,15,8,0.3303342601631712,4,False
public_peak_workload,mild_misspecification,轻度失真,15,9,0.3499431822646204,4,False
public_peak_workload,mild_misspecification,轻度失真,15,10,0.3698422991124465,4,False
public_peak_workload,mild_misspecification,轻度失真,16,6,0.2827243430870927,4,False
public_peak_workload,mild_misspecification,轻度失真,16,7,0.2942215124711507,4,False
public_peak_workload,mild_misspecification,轻度失真,16,8,0.3120682063117304,4,False
public_peak_workload,mild_misspecification,轻度失真,16,9,0.3314740034131797,4,False
public_peak_workload,mild_misspecification,轻度失真,16,10,0.35131413022477387,4,False
public_peak_workload,mild_misspecification,轻度失真,17,6,0.2711991746523186,4,False
public_peak_workload,mild_misspecification,轻度失真,17,7,0.27831907954362295,4,False
public_peak_workload,mild_misspecification,轻度失真,17,8,0.29514301523202874,4,False
public_peak_workload,mild_misspecification,轻度失真,17,9,0.3142784318986954,4,False
public_peak_workload,mild_misspecification,轻度失真,17,10,0.33405277519579685,4,False
public_peak_workload,mild_misspecification,轻度失真,18,6,0.26634932457858457,4,False
public_peak_workload,mild_misspecification,轻度失真,18,7,0.26472500392641063,4,False
public_peak_workload,mild_misspecification,轻度失真,18,8,0.2799694559191643,4,False
public_peak_workload,mild_misspecification,轻度失真,18,9,0.2987234187814831,4,False
public_peak_workload,mild_misspecification,轻度失真,18,10,0.31840231370901934,4,False
public_peak_workload,mild_misspecification,轻度失真,19,6,0.2786627695934174,4,False
public_peak_workload,mild_misspecification,轻度失真,19,7,0.25387042357892464,4,False
public_peak_workload,mild_misspecification,轻度失真,19,8,0.26681494350646084,4,False
public_peak_workload,mild_misspecification,轻度失真,19,9,0.28509075872385214,4,False
public_peak_workload,mild_misspecification,轻度失真,19,10,0.3046368411513884,4,False
public_peak_workload,mild_misspecification,轻度失真,20,6,0.3966402055979527,4,False
public_peak_workload,mild_misspecification,轻度失真,20,7,0.2464015280617208,4,False
public_peak_workload,mild_misspecification,轻度失真,20,8,0.2560589103080976,4,False
public_peak_workload,mild_misspecification,轻度失真,20,9,0.2736981766124454,4,False
public_peak_workload,mild_misspecification,轻度失真,20,10,0.2930895941849092,4,False
public_peak_workload,mild_misspecification,轻度失真,21,6,3.499721808269155,4,False
public_peak_workload,mild_misspecification,轻度失真,21,7,0.2435583118923431,4,False
public_peak_workload,mild_misspecification,轻度失真,21,8,0.24768365156625607,4,False
public_peak_workload,mild_misspecification,轻度失真,21,9,0.26450305826915466,4,False
public_peak_workload,mild_misspecification,轻度失真,21,10,0.28372373308799526,4,False
public_peak_workload,mild_misspecification,轻度失真,22,6,10.9356274490701,4,False
public_peak_workload,mild_misspecification,轻度失真,22,7,0.24806336392517372,4,False
public_peak_workload,mild_misspecification,轻度失真,22,8,0.24205204146140566,4,False
public_peak_workload,mild_misspecification,轻度失真,22,9,0.25788967733097085,4,False
public_peak_workload,mild_misspecification,轻度失真,22,10,0.27689862207734767,4,False
public_peak_workload,mild_misspecification,轻度失真,23,6,17.826441542604908,4,False
public_peak_workload,mild_misspecification,轻度失真,23,7,0.2681493098150532,4,False
public_peak_workload,mild_misspecification,轻度失真,23,8,0.23984722648171986,4,True
public_peak_workload,mild_misspecification,轻度失真,23,9,0.25444403354693723,4,False
public_peak_workload,mild_misspecification,轻度失真,23,10,0.2732302654309952,4,False
public_peak_workload,mild_misspecification,轻度失真,24,6,23.806959666936816,4,False
public_peak_workload,mild_misspecification,轻度失真,24,7,0.32094766512522255,4,False
public_peak_workload,mild_misspecification,轻度失真,24,8,0.2424536660310196,4,False
public_peak_workload,mild_misspecification,轻度失真,24,9,0.2555066551614543,4,False
public_peak_workload,mild_misspecification,轻度失真,24,10,0.27402918686435285,4,False
public_peak_workload,mild_misspecification,轻度失真,25,6,28.847055236920898,4,False
public_peak_workload,mild_misspecification,轻度失真,25,7,0.414732093804957,4,False
public_peak_workload,mild_misspecification,轻度失真,25,8,0.2518120303991599,4,False
public_peak_workload,mild_misspecification,轻度失真,25,9,0.2631752550368411,4,False
public_peak_workload,mild_misspecification,轻度失真,25,10,0.28145582568901495,4,False
public_peak_workload,mild_misspecification,轻度失真,26,6,33.02157653154266,4,False
public_peak_workload,mild_misspecification,轻度失真,26,7,0.5999164319049813,4,False
public_peak_workload,mild_misspecification,轻度失真,26,8,0.27025848353541615,4,False
public_peak_workload,mild_misspecification,轻度失真,26,9,0.2798150958542567,4,False
public_peak_workload,mild_misspecification,轻度失真,26,10,0.2978477045499089,4,False
public_peak_workload,mild_misspecification,轻度失真,27,6,36.55459717294536,4,False
public_peak_workload,mild_misspecification,轻度失真,27,7,0.9439131829091306,4,False
public_peak_workload,mild_misspecification,轻度失真,27,8,0.2988030153366668,4,False
public_peak_workload,mild_misspecification,轻度失真,27,9,0.3066041928728987,4,False
public_peak_workload,mild_misspecification,轻度失真,27,10,0.3244959501192755,4,False
public_peak_workload,mild_misspecification,轻度失真,28,6,39.42143878103485,4,False
public_peak_workload,mild_misspecification,轻度失真,28,7,1.8673374449841331,4,False
public_peak_workload,mild_misspecification,轻度失真,28,8,0.33368130820877095,4,False
public_peak_workload,mild_misspecification,轻度失真,28,9,0.33986235440442314,4,False
public_peak_workload,mild_misspecification,轻度失真,28,10,0.35757702831746657,4,False
public_peak_workload,mild_misspecification,轻度失真,29,6,41.722999559673006,4,False
public_peak_workload,mild_misspecification,轻度失真,29,7,3.195030469999095,4,False
public_peak_workload,mild_misspecification,轻度失真,29,8,0.3688919962672105,4,False
public_peak_workload,mild_misspecification,轻度失真,29,9,0.3741225216295293,4,False
public_peak_workload,mild_misspecification,轻度失真,29,10,0.39169940115851487,4,False
public_peak_workload,mild_misspecification,轻度失真,30,6,43.57018241008777,4,False
public_peak_workload,mild_misspecification,轻度失真,30,7,4.366632704471827,4,False
public_peak_workload,mild_misspecification,轻度失真,30,8,0.40635326606602984,4,False
public_peak_workload,mild_misspecification,轻度失真,30,9,0.4105237823703777,4,False
public_peak_workload,mild_misspecification,轻度失真,30,10,0.42806307131965304,4,False
public_peak_workload,medium_misspecification,中度失真,12,6,0.3407739992241607,4,False
public_peak_workload,medium_misspecification,中度失真,12,7,0.3594082836444505,4,False
public_peak_workload,medium_misspecification,中度失真,12,8,0.379328573499523,4,False
public_peak_workload,medium_misspecification,中度失真,12,9,0.39931385429662436,4,False
public_peak_workload,medium_misspecification,中度失真,12,10,0.41931192947778384,4,False
public_peak_workload,medium_misspecification,中度失真,13,6,0.31885001976639143,4,False
public_peak_workload,medium_misspecification,中度失真,13,7,0.33730586215769576,4,False
public_peak_workload,medium_misspecification,中度失真,13,8,0.3571741819040726,4,False
public_peak_workload,medium_misspecification,中度失真,13,9,0.37714814023740584,4,False
